ID,Width,Height,Depth,TemporalPooling,Epochs,Seed,SpatialPooling,AvgClassificationRate,AvgDeviation
17466591793,3,3,2,2,800,13,8,67.6382,5.2727
17466591793,3,3,2,2,800,42,8,65.6518,6.0814
17464856923,3,3,2,2,800,44,8,64.2906,4.6967
17466591793,3,3,2,2,800,45,8,67.1416,5.2558
17464856923,3,3,2,2,800,59,8,68.4826,5.7901
17464856923,3,3,2,2,800,6,8,64.1535,4.8662
17466591793,3,3,2,2,800,93,8,69.3065,5.6282
17466591793,3,3,2,2,800,96,8,69.3423,6.5122
17464856923,3,3,2,2,800,98,8,67.1418,5.6892
17464862393,3,3,2,3,800,13,8,71.2811,4.1444
17464856923,3,3,2,3,800,42,8,69.7766,6.984
17464862953,3,3,2,3,800,44,8,69.7254,3.9781
17464862393,3,3,2,3,800,45,8,72.3759,5.4382
17464862953,3,3,2,3,800,59,8,72.9327,7.405
17464862393,3,3,2,3,800,6,8,69.4103,2.3063
17464862393,3,3,2,3,800,93,8,71.7354,5.8046
17464862393,3,3,2,3,800,96,8,71.7005,5.7599
17464862953,3,3,2,3,800,98,8,73.338,2.9149
17464862953,3,3,2,4,800,13,8,68.5631,4.6505
17464862953,3,3,2,4,800,42,8,67.6731,5.435
17464865793,3,3,2,4,800,44,8,65.4441,4.9335
17464862983,3,3,2,4,800,45,8,68.5811,5.2999
17464865793,3,3,2,4,800,59,8,69.2149,5.9207
17464862983,3,3,2,4,800,6,8,64.6444,4.7236
17464862983,3,3,2,4,800,93,8,70.1159,5.8137
17464862983,3,3,2,4,800,96,8,69.0661,4.6679
17464862983,3,3,2,4,800,98,8,69.3078,5.0427
17464865793,3,3,2,5,800,13,8,59.5295,4.1648
17464865793,3,3,2,5,800,42,8,56.0698,6.9275
17464878093,3,3,2,5,800,44,8,55.7218,4.0535
17464876123,3,3,2,5,800,45,8,57.4136,3.2088
17464876123,3,3,2,5,800,59,8,62.3098,3.674
17466591893,3,3,2,5,800,6,8,55.8186,7.3157
17464865793,3,3,2,5,800,93,8,59.1242,8.9019
17464876123,3,3,2,5,800,96,8,57.7076,5.3057
17464876123,3,3,2,5,800,98,8,60.6124,6.1768
17464878093,3,3,3,2,800,13,8,70.344,3.5055
17464878093,3,3,3,2,800,42,8,67.0786,7.2875
17464880013,3,3,3,2,800,44,8,66.9353,4.8384
17464878093,3,3,3,2,800,45,8,69.3723,5.6232
17464880013,3,3,3,2,800,59,8,68.2363,8.5452
17464880013,3,3,3,2,800,6,8,64.8535,4.9065
17464878093,3,3,3,2,800,93,8,72.2501,7.0389
17464880013,3,3,3,2,800,96,8,69.5342,5.2879
